unit,n_words,role,scholarly,mvn_map,mvn_lo,mvn_hi,mvn_width,map_resist,delta_arch,map_genre,genre_shift,lbh_score,lbh_class,reg_mvn_map,best_group,group,hb_map,hb_post_std,hb_scholar_in68,hb_lo,hb_hi,ps_modeA,ps_modeB,ps_lik_only,ps_shift,ps_verdict
Nehemiah,7842,train,380.0,410,252,568,317,413,-3,402,52,0.565,Transitional,313,Transitional,LBH,410.1276607381467,37.003738208648926,True,369.36132283813527,442.6692111671032,,,,,
Esther,4621,train,300.0,350,193,503,310,240,110,215,-25,1.691,Modern/LBH,510,Transitional,LBH,309.9987044850325,34.56600689049929,True,275.4058110066938,343.3987395675664,,,,,
Ecclesiastes,4233,train,250.0,258,93,425,332,492,-233,217,42,2.213,Modern/LBH,250,LBH,LBH,177.89793375340872,40.72970255787106,False,138.82410964278824,219.14252587017472,,,,,
Genesis,28764,target,,263,97,430,333,335,-72,397,215,0.706,Modern/LBH,268,Transitional,Transitional,537.9144924966964,43.47366388450524,True,495.0601282706572,580.7688567227359,,,,,
Exodus,23748,target,,423,268,578,310,447,-23,417,50,0.21,Archaic/SBH,382,Transitional,Transitional,542.8592268304704,44.17031053066386,True,503.3013521602802,589.0100806123587,,,,,
Leviticus,17099,target,,542,387,695,308,560,-18,503,-72,-0.154,Archaizing,402,Transitional,LBH,341.7733639236704,32.69685263394826,False,310.45671314310323,374.7382594821622,,,,,
Numbers,23188,target,,432,275,588,313,402,30,402,17,0.281,Archaic/SBH,353,Transitional,LBH,458.7987431563163,41.89499484768056,False,414.2961341523524,496.70837304858185,,,,,
Deuteronomy,20128,target,,490,328,650,322,570,-80,353,-132,-0.296,Archaizing,552,Transitional,SBH,743.9450897372701,47.19603333370409,False,699.4424807333062,791.7441882970834,,,,,
Isaiah_1,13504,train,720.0,528,377,680,303,493,35,497,-57,0.23,Archaic/SBH,498,Transitional,SBH,709.6154327012192,25.459117787544336,True,684.6062202408883,735.3098290645729,,,,,
Isaiah_2,5738,train,545.0,550,398,700,302,628,-78,560,-32,0.062,Archaic/SBH,452,Transitional,Transitional,542.0650628345315,18.374875123336693,True,523.6081744026424,559.9168073834079,,,,,
Isaiah_3,3689,train,400.0,540,387,693,307,555,-15,490,-83,0.198,Archaic/SBH,482,Transitional,Transitional,424.8442685164855,44.975284604437626,True,379.6321762612596,469.1610718161624,,,,,
Zechariah_1,2484,train,518.0,422,263,582,318,370,52,355,-17,0.398,Transitional,472,Transitional,Transitional,516.6490197479956,9.827077642523232,True,506.9667176197914,526.3313218761998,,,,,
Zechariah_2,1987,train,350.0,548,395,702,307,512,37,612,25,-0.023,Archaizing,367,Transitional,LBH,361.9832737642912,39.362828045677446,True,324.4140911519187,402.1434344878618,,,,,
Chronicles,35330,train,330.0,383,227,538,312,290,93,333,35,0.802,Modern/LBH,368,Transitional,LBH,364.44926223140936,28.72570569545899,False,336.01413025596463,392.8843942068541,,,,,
Daniel,3437,hbvi_holdout,167.0,430,272,587,315,445,-15,373,-10,0.835,Modern/LBH,530,Transitional,LBH,172.0614320141974,9.718808028928676,True,162.59476163508145,181.89220510020232,187.82630295499047,285.3881349061361,205.25998121582307,-97.56183195114562,prior-dominated
Jer_oracle,14539,holdout,605.0,543,393,695,302,587,-43,577,-5,0.158,Archaic/SBH,502,Transitional,SBH,630.7186416959008,25.51846435321354,False,605.302598609365,656.1346847824368,633.8228837773675,660.3769082068615,674.7711161798566,-26.554024429494007,data-driven
Jer_DTR,15197,target,,458,302,613,312,473,-15,352,-78,0.266,Archaic/SBH,508,Transitional,,,,,,,594.4137736028476,543.1929165503848,299.1622082086293,51.22085705246286,mildly prior-influenced
D_Code,7353,target,,533,372,693,322,687,-153,393,-162,-0.626,Archaizing,560,Transitional,,,,,,,686.6669178750192,737.3835312954034,709.984451302159,-50.71661342038419,mildly prior-influenced
D_Frame,11993,target,,465,302,627,325,510,-45,318,-127,-0.135,Archaizing,565,Transitional,,,,,,,693.8322106340228,713.946732964108,709.984451302159,-20.114522330085265,data-driven
D_Song,782,target,,468,307,632,325,447,22,510,58,0.236,Archaic/SBH,270,Transitional,,,,,,,722.9617293663663,780.9090139106661,803.8866782949663,-57.947284544299805,mildly prior-influenced
