id,group,holdout,scholarly_date,hb_map,hb_ci68_lo,hb_ci68_hi,hb_ci68_width,hb_post_std,hb_in68,mle_map,mle_ci68_lo,mle_ci68_hi,mle_ci68_width,mle_in68,hb_error,mle_error,delta_map
lxx_2maccabees,koine,False,-110.0,-111.14607226427223,-135.41663872231834,-87.35139926618791,48.06523945613043,24.19567068441667,True,-103.0465232616308,-127.12106053026513,-78.97198599299648,48.149074537268646,True,-1.1460722642722345,6.953476738369204,-8.099549002641439
lxx_1maccabees,koine,False,-100.0,-88.30318618611125,-113.049646104119,-64.03261972806521,49.01702637605379,24.61589039563374,True,-61.10055027513758,-85.0975487743872,-37.10355177588795,47.993996998499256,False,11.696813813888753,38.89944972486242,-27.20263591097367
diodorus_siculus,koine,False,-50.0,-58.797791668486646,-78.30942352691584,-39.286159810057455,39.02326371685838,19.609949530963902,True,-53.026513256628334,-72.5287643821911,-33.52426213106554,39.00450225112556,True,-8.797791668486646,-3.026513256628334,-5.771278411858312
philo_de_opificio,koine,False,40.0,40.66394146350605,25.911244204693773,55.416638722318325,29.505394517624552,14.826762805805998,True,41.09304652326162,26.11305652826411,55.7903951975988,29.677338669334688,True,0.663941463506049,1.09304652326162,-0.429105059755571
philo_de_vita_mosis,koine,False,40.0,43.51930222327616,28.766604964463877,58.27199948208853,29.505394517624655,14.836600387207978,True,40.52776388194096,25.547773886943475,55.22511255627813,29.677338669334652,True,3.5193022232761635,0.5277638819409631,2.9915383413352004
josephus_jewish_war,koine,False,80.0,79.21131172040278,69.21754906120731,89.20507437959813,19.987525318390823,9.945728050567874,True,80.09754877438718,70.20510255127562,89.98999499749874,19.784892446223125,True,-0.7886882795972241,0.09754877438717813,-0.8862370539844022
josephus_antiquities,koine,False,93.0,93.01222205929164,87.77739399971308,97.77115665890857,9.993762659195482,4.9934698044338495,True,93.0990495247624,88.01150575287642,97.90395197598798,9.892446223111563,True,0.012222059291644882,0.0990495247624068,-0.08682746547076192
vita_aesopi,koine,False,50.0,82.06667248017288,24.00767036484696,141.0774615154221,117.06979115057514,58.9412607023336,True,72.23611805902954,13.756878439219632,130.71535767883944,116.9584792396198,True,32.06667248017288,22.236118059029536,9.830554421143347
john_gospel,koine,False,100.0,100.62651741867867,81.11488556024948,120.13814927710786,39.02326371685838,19.667316069340064,True,99.31715857928964,79.81490745372685,118.81940970485245,39.0045022511256,True,0.6265174186786737,-0.6828414207103606,1.3093588393890343
chariton_callirhoe,koine,False,100.0,116.33100159741434,79.21131172040278,152.97479801446437,73.7634862940616,37.04426959607327,True,108.92696348174088,72.18359179589794,145.6703351675838,73.48674337168586,True,16.331001597414343,8.926963481740884,7.404038115673458
ignatius_letters,koine,False,108.0,107.76491931810403,103.00598471848711,112.99974737768258,9.993762659195468,4.994944022263602,True,108.07903951975987,103.27413706853424,113.1665832916458,9.892446223111548,True,-0.23508068189596543,0.07903951975987411,-0.31412020165583954
testament_abraham,koine,False,100.0,62.555040621743686,19.24873576523016,109.1925996979891,89.94386393275894,45.55654911336013,True,106.38319159579788,62.29114557278638,150.4752376188094,88.18409204602301,True,-37.444959378256314,6.383191595797882,-43.828150974054196
epictetus_discourses,koine,False,108.0,110.62028007787411,101.10241087864044,120.6140427370696,19.511631858429155,9.954445062879934,True,108.92696348174088,99.03451725862932,118.81940970485245,19.784892446223125,True,2.6202800778741135,0.9269634817408843,1.6933165961332293
achilles_tatius,koine,False,150.0,138.69799421561373,110.14438661791247,167.251601813315,57.10721519540253,28.63401831671423,True,137.47373686843423,108.92696348174088,165.7378689344672,56.81090545272632,True,-11.302005784386267,-12.52626313156577,1.2242573471795026
appian_roman_history,koine,False,155.0,154.40247839434943,139.64978113553704,169.1551756531617,29.505394517624666,14.841115766368404,True,153.58429214607304,138.88694347173583,168.2816408204102,29.394697348674356,True,-0.5975216056505701,-1.4157078539269605,0.8181862482763904
galen_natural_faculties,koine,False,180.0,178.6730448523954,164.39624105354477,193.4257421112078,29.029501057663026,14.825297017433504,True,180.15257628814408,165.45522761380687,194.84992496248125,29.394697348674384,True,-1.3269551476045933,0.15257628814407553,-1.4795314357486689
clement_stromateis,koine,False,200.0,199.136463630748,184.3837663719357,213.8891608895603,29.50539451762458,14.82677886513364,True,201.3506753376688,186.3706853426713,216.048024012006,29.677338669334716,True,-0.8635363692519888,1.3506753376688039,-2.2142117069207927
aelian_various_history,koine,False,220.0,221.02756278898565,206.27486553017337,235.78026004779792,29.505394517624552,14.832108099172263,True,224.5272636318159,209.8299149574787,239.22461230615303,29.394697348674327,True,1.027562788985648,4.527263631815913,-3.499700842830265
plotinus_enneads,koine,False,265.0,267.18922840526926,257.1954657460739,277.1829910644648,19.98752531839085,9.947867917192823,True,265.22761380690343,255.33516758379187,275.120060030015,19.784892446223125,True,2.1892284052692617,0.22761380690343458,1.961614598365827
porphyry_life_plotinus,koine,False,290.0,289.08032756350696,274.32763030469465,303.8330248223193,29.505394517624666,14.83052213182585,True,286.543271635818,271.8359179589795,301.2506253126564,29.414707353676874,True,-0.9196724364930446,-3.456728364182027,2.537055927688982
iamblichus_pythagorean,koine,False,305.0,301.9210471614767,287.09081113327966,316.7512831896737,29.660472056394042,14.848782204630844,True,307.6288144072036,292.86143071535764,322.39619809904946,29.534767383691815,True,-3.078952838523321,2.628814407203606,-5.707767245726927
eusebius_church_history,koine,False,315.0,309.02013016328243,294.51821380815363,324.0054437302488,29.487229922095196,14.860763141358044,True,310.2551275637819,295.56028014007006,324.94997498749376,29.389694847423698,True,-5.979869836717569,-4.744872436218088,-1.2349974004994806
