id,group,holdout,scholarly_date,hb_map,hb_ci68_lo,hb_ci68_hi,hb_post_std,hb_z_score,hb_scholar_in68,hb_prior_prec
plutarch_lives,atticizing,False,100.0,94.43990243917669,79.68720518036442,109.1925996979891,14.818555761008833,-0.3706731707215539,True,0.9759537548539025
plutarch_moralia,atticizing,False,100.0,101.57830433860207,86.82560707978979,116.33100159741434,14.792882992318534,0.10522028924013777,True,0.9725750543307864
dio_chrysostom_orations,atticizing,False,100.0,103.95777163841052,89.20507437959813,118.7104688972228,14.790550922762847,0.26385144256070137,True,0.9722684293281819
arrian_anabasis,atticizing,False,145.0,143.9328222751923,133.93905961599683,153.92658493438768,9.950282035667103,-0.10671777248076922,True,0.9900811258931946
pausanias_description,atticizing,False,160.0,155.3542653142727,140.60156805546043,170.1069625730851,14.80429897501717,-0.30971564571515275,True,0.9740767472964197
lucian_true_history,atticizing,False,165.0,168.67928219320004,153.92658493438768,183.4319794520123,14.814357948975413,0.24528547954666918,True,0.9754008952905378
aelius_aristides_sacred,atticizing,False,170.0,169.1551756531617,154.40247839434943,183.90787291197398,14.82342891260717,-0.05632162312255294,True,0.9765957543427476
maximus_tyrius_orations,atticizing,False,180.0,180.57661869224222,165.82392143342983,195.3293159510545,14.80426831443361,0.038441246149481384,True,0.9740727125588575
philostratus_lives_sophists,atticizing,False,220.0,221.97934970890904,207.22665245009668,236.73204696772132,14.788303810848548,0.13195664726060272,True,0.9719730204531454
cassius_dio_roman,atticizing,False,220.0,221.02756278898565,206.27486553017337,235.78026004779792,14.800437341687296,0.06850418593237653,True,0.9735686466898298
libanius_orations,atticizing,False,360.0,360.5779524184344,345.90660686193667,375.2492979749322,14.8185360793395,0.03853016122895951,True,0.9759511623763845
lxx_genesis,koine,False,-270.0,-250.5828560330467,-270.09448789147586,-231.07122417461753,19.61188494825095,0.9708571983476645,True,0.9615650780585805
lxx_exodus,koine,False,-260.0,-245.34802797346816,-264.8596598318974,-225.83639611503898,19.6103436735261,0.7325986013265918,True,0.9614139474845127
lxx_1kingdoms,koine,False,-240.0,-154.92827058074755,-183.0059847184871,-127.32644990296963,27.919253180166592,2.835724313975082,False,0.8660941090424914
apollodorus_library,koine,False,-150.0,-215.47761824976487,-273.66602955645476,-157.28920694307504,58.51955207980785,-0.873034909996865,False,0.6088067512215722
lxx_judith,koine,False,-125.0,-76.40584968706908,-113.5255395640807,-39.76205327001916,37.025633113563714,1.214853757823273,False,0.8568109421626411
lxx_2maccabees,koine,False,-110.0,-111.14607226427225,-135.41663872231834,-87.35139926618791,24.19567068441667,-0.04584289057088995,True,0.9366887677899844
