book,chapter,n_words,source_label,map_char,ci68_lo_char,ci68_hi_char,map_word,ci68_lo_word,ci68_hi_word,avg_date,archaism_index,classification
Deuteronomy,21,491,D-code,428.0,384.2,471.7,554.7,481.0,628.5,491.3,126.8,MIXED
Deuteronomy,22,597,D-code,386.5,342.7,428.0,515.5,441.8,589.3,451.0,129.1,MIXED
Deuteronomy,23,433,D-code,425.7,381.9,469.4,402.6,328.9,476.4,414.1,-23.0,MIXED
Deuteronomy,24,449,D-code,70.7,61.5,123.7,225.2,153.7,298.9,147.9,154.4,EDITORIAL
Deuteronomy,25,355,D-code,275.9,234.4,319.6,112.2,80.0,197.5,194.0,-163.6,EDITORIAL
Deuteronomy,26,486,D-code,50.0,52.3,80.0,50.0,61.5,139.9,50.0,0.0,EDITORIAL
Deuteronomy,27,442,D-frame,616.9,575.5,660.7,628.5,554.7,702.2,622.7,11.5,MIXED
Deuteronomy,28,1405,D-frame,356.5,315.0,400.3,499.4,425.7,573.1,428.0,142.9,MIXED
Deuteronomy,29,632,D-frame,328.9,285.1,370.3,384.2,310.4,455.6,356.5,55.3,EDITORIAL
Deuteronomy,30,482,D-frame,241.3,199.8,285.1,409.5,335.8,483.3,325.4,168.2,EDITORIAL
Deuteronomy,31,776,D-frame,400.3,356.5,441.8,591.6,517.8,665.3,495.9,191.3,MIXED
Deuteronomy,32,777,Poem,644.6,600.8,686.1,520.1,446.4,593.9,582.4,-124.4,MIXED
Deuteronomy,33,454,Poem,451.0,409.5,494.8,538.6,464.8,612.3,494.8,87.6,MIXED
Deuteronomy,34,244,D-frame,591.6,547.8,635.4,245.9,174.4,319.6,418.7,-345.7,MIXED
