unit,date_bce,subs·conj·art,conj·art,verb_infc·conj,verb_perf·subs,advb·verb_impf,adjv·conj,adjv·conj·prep,verb_perf·subs·prep,verb_impf·nmpr,conj·art·subs,nmpr·nega·verb_impf,prep·verb_infc·conj,nmpr·verb_impf,art·adjv,art·adjv·conj,prde·verb_perf,art·adjv·verb_perf,adjv·conj·prps,verb_ptca·nega,verb_impv·conj,verb_impf·subs·prep,prep·nmpr·verb_impf,verb_infc·conj·prep,prep·verb_infc·art,verb_impv·subs·nmpr,subs·nmpr·verb_impv,verb_wayq·subs·adjv,subs·verb_impv,verb_perf·verb_impv,verb_impf·subs,verb_perf·prep·verb_infc,prep·verb_infc,nmpr·nega,prps·verb_impf,nmpr·verb_impf·subs,nega·verb_impf,verb_infc·art,conj·art·adjv,nmpr·verb_impf·conj,subs·art·subs,subs·nmpr·verb_impf,verb_perf·subs·nmpr,conj·prep·conj,advb·verb_impf·prep,art·subs·verb_ptca,art·subs·conj,verb_impf·conj·nmpr,prep·verb_infc·prep,verb_impf·prep,art·prps·verb_impf,art·subs,W·H,W·L,ZH·W,L·H,>L·H
Ezekiel,580,2.673592544496219,4.315942250401039,1.64234970590482,14.246428844244136,1.0694370177984873,5.805515239477503,0.8020777633488657,4.468718967229394,0.03819417920708884,3.246505232602551,0.42013597127797725,1.5277671682835534,0.6493010465205102,6.26384538996257,2.0242914979757085,0.38194179207088835,0.03819417920708884,0.22916507524253305,0.34374761286379957,1.184019555419754,1.909708960354442,0.03819417920708884,0.03819417920708884,0.4965243296921549,0.34374761286379957,0.19097089603544418,0.07638835841417768,3.28469941180964,0.15277671682835536,7.829806737453213,0.954854480177221,14.81934153235047,0.6874952257275991,1.5659613474906424,0.15277671682835536,8.097165991902834,0.6111068673134215,0.38194179207088835,0.11458253762126652,18.906118707508973,0.38194179207088835,1.8333206019402644,0.15277671682835536,0.5347185088992437,0.4965243296921549,19.211672141165685,0.0,5.194408372164082,11.687418837369185,0.26735925444962183,55.266977312657545,4.086777175158505,2.406233290046597,0.3055534336567107,6.454816285998014,3.28469941180964
Haggai,520,3.4207525655644244,5.701254275940707,1.1402508551881414,17.10376282782212,0.0,7.98175598631699,2.280501710376283,1.1402508551881414,1.1402508551881414,4.561003420752566,0.0,1.1402508551881414,0.0,14.823261117445838,5.701254275940707,1.1402508551881414,1.1402508551881414,1.1402508551881414,0.0,1.1402508551881414,0.0,0.0,0.0,1.1402508551881414,0.0,2.280501710376283,0.0,4.561003420752566,0.0,3.4207525655644244,0.0,19.384264538198405,0.0,0.0,0.0,1.1402508551881414,1.1402508551881414,0.0,0.0,11.402508551881414,0.0,5.701254275940707,1.1402508551881414,0.0,0.0,41.049030786773095,0.0,3.4207525655644244,1.1402508551881414,0.0,87.79931584948689,5.701254275940707,1.1402508551881414,3.4207525655644244,10.262257696693274,4.561003420752566
Zechariah_1,518,4.025764895330112,6.038647342995169,3.2206119162640903,9.25925925925926,1.2077294685990339,11.272141706924316,1.6103059581320451,3.2206119162640903,1.2077294685990339,4.428341384863124,0.4025764895330113,3.2206119162640903,0.0,12.47987117552335,4.025764895330112,0.0,1.2077294685990339,0.8051529790660226,0.0,0.8051529790660226,0.8051529790660226,0.0,0.4025764895330113,0.0,0.4025764895330113,0.0,0.4025764895330113,2.818035426731079,0.4025764895330113,5.233494363929147,0.8051529790660226,22.14170692431562,0.4025764895330113,2.4154589371980677,0.0,3.6231884057971016,0.0,1.2077294685990339,0.0,20.933977455716587,0.0,2.818035426731079,0.0,0.8051529790660226,1.6103059581320451,21.73913043478261,0.0,7.648953301127214,9.66183574879227,0.0,56.36070853462158,5.636070853462158,4.830917874396135,0.4025764895330113,2.012882447665056,5.636070853462158
Malachi,450,2.527379949452401,3.369839932603201,1.6849199663016006,10.951979780960405,0.8424599831508003,7.582139848357203,0.8424599831508003,2.527379949452401,2.527379949452401,2.527379949452401,0.0,0.8424599831508003,0.0,2.527379949452401,1.6849199663016006,0.8424599831508003,0.8424599831508003,0.0,0.0,0.0,2.527379949452401,0.0,0.0,0.0,0.8424599831508003,0.0,0.0,1.6849199663016006,0.8424599831508003,9.267059814658804,1.6849199663016006,7.582139848357203,1.6849199663016006,2.527379949452401,0.0,8.424599831508003,0.0,0.0,0.0,7.582139848357203,0.0,0.0,0.0,0.8424599831508003,2.527379949452401,20.219039595619208,0.0,0.0,10.109519797809604,0.0,37.91069924178601,3.369839932603201,1.6849199663016006,0.0,5.054759898904802,1.6849199663016006
Jonah,400,4.060913705583757,6.091370558375634,2.0304568527918785,6.091370558375634,2.0304568527918785,13.197969543147208,2.0304568527918785,2.0304568527918785,0.0,6.091370558375634,0.0,2.0304568527918785,0.0,6.091370558375634,5.076142131979695,1.0152284263959392,0.0,1.0152284263959392,0.0,2.0304568527918785,2.0304568527918785,0.0,0.0,3.045685279187817,0.0,0.0,1.0152284263959392,1.0152284263959392,0.0,7.106598984771574,3.045685279187817,20.30456852791878,1.0152284263959392,0.0,0.0,7.106598984771574,3.045685279187817,0.0,0.0,9.137055837563452,0.0,0.0,1.0152284263959392,1.0152284263959392,2.0304568527918785,34.51776649746193,0.0,10.15228426395939,9.137055837563452,0.0,69.03553299492386,4.060913705583757,0.0,1.0152284263959392,4.060913705583757,6.091370558375634
Lamentations,580,1.0282776349614395,1.0282776349614395,1.0282776349614395,48.84318766066838,1.0282776349614395,0.5141388174807198,0.0,14.395886889460154,0.5141388174807198,0.5141388174807198,0.5141388174807198,0.5141388174807198,1.0282776349614395,3.084832904884319,0.0,1.5424164524421595,0.5141388174807198,0.0,0.5141388174807198,2.5706940874035986,4.113110539845758,1.0282776349614395,0.0,0.0,0.5141388174807198,1.0282776349614395,0.0,6.169665809768638,0.5141388174807198,10.796915167095117,0.0,9.254498714652957,1.5424164524421595,0.5141388174807198,0.5141388174807198,8.226221079691516,0.0,0.5141388174807198,0.0,5.141388174807197,0.0,1.5424164524421595,0.0,0.5141388174807198,0.5141388174807198,4.627249357326479,0.0,1.0282776349614395,16.452442159383033,0.0,34.96143958868895,1.0282776349614395,0.0,0.0,6.169665809768638,0.0
Ezra,350,4.555808656036446,7.023538344722855,1.7084282460136675,7.21336370539104,1.3287775246772968,9.491268033409265,2.6575550493545936,2.847380410022779,0.18982536066818528,3.7965072133637054,0.0,1.5186028853454823,0.5694760820045558,11.958997722095672,4.935459377372816,1.5186028853454823,0.9491268033409264,0.37965072133637057,0.0,0.7593014426727411,1.5186028853454823,0.5694760820045558,0.37965072133637057,0.5694760820045558,0.0,0.0,0.5694760820045558,0.7593014426727411,0.0,3.2270311313591495,1.5186028853454823,18.0334092634776,0.5694760820045558,0.18982536066818528,0.0,1.7084282460136675,0.7593014426727411,2.467729688686408,0.37965072133637057,17.463933181473045,0.0,0.5694760820045558,0.18982536066818528,0.37965072133637057,1.1389521640091116,16.704631738800302,0.0,8.731966590736523,7.21336370539104,0.0,42.5208807896735,6.83371298405467,7.023538344722855,0.5694760820045558,4.365983295368261,0.37965072133637057
Nehemiah,350,6.503442999234889,11.60418260647794,1.6577403723539914,4.335628666156593,0.7651109410864575,12.369293547564396,2.1678143330782964,1.02014792144861,0.0,6.248406018872736,0.0,1.6577403723539914,0.12751849018107625,15.812292782453454,7.523590920683499,0.6375924509053813,0.6375924509053813,0.510073960724305,0.0,0.7651109410864575,0.8926294312675338,0.0,0.38255547054322875,0.6375924509053813,0.0,0.0,0.510073960724305,0.6375924509053813,0.0,2.8054067839836776,0.6375924509053813,11.986738077021167,0.0,0.7651109410864575,0.0,3.570517725070135,0.7651109410864575,3.06044376434583,0.0,27.28895689875032,0.0,0.7651109410864575,0.12751849018107625,0.38255547054322875,0.6375924509053813,32.26217801581229,0.0,6.758479979597042,6.248406018872736,0.0,72.81305789339454,10.966590155572558,5.228258097424127,0.6375924509053813,7.778627901045652,1.6577403723539914
Chronicles,350,3.962637984715539,6.764789131050099,2.5757146900651002,4.726861024624965,0.48117746957260116,7.812057741296349,1.811491650155675,1.415227851684121,0.31135012737050666,4.528729125389187,0.1415227851684121,2.462496461930371,0.33965468440418906,14.378714973110672,4.953297480894424,0.48117746957260116,0.5660911406736484,0.08491367110104726,0.0,0.9623549391452023,0.9057458250778375,0.08491367110104726,0.735918482875743,0.8491367110104727,0.08491367110104726,0.1415227851684121,0.3679592414378715,1.1887913954146618,0.056609114067364845,2.0945372204924992,1.1604868383809792,16.19020662326635,0.5660911406736484,0.735918482875743,0.11321822813472969,2.2077554486272293,0.9906594961788847,1.6982734220209454,0.028304557033682422,18.879139541466177,0.11321822813472969,0.9906594961788847,0.2547410133031418,0.19813189923577695,0.9906594961788847,25.728842343617323,0.056609114067364845,8.010189640532127,4.358901783187093,0.0,56.3543730540617,6.453439003679592,5.632606849702802,1.0189640532125672,7.387489385791112,1.075573167279932
Daniel,167,3.782368344486471,7.273785277858598,3.4914169333721268,11.347105033459412,0.2909514111143439,12.801862089031133,2.0366598778004072,1.7457084666860634,0.8728542333430317,4.946173988943846,0.2909514111143439,3.200465522257783,0.0,7.855688100087285,3.782368344486471,1.1638056444573757,0.5819028222286878,0.5819028222286878,0.0,0.8728542333430317,1.4547570555717195,0.0,1.1638056444573757,0.5819028222286878,0.0,0.0,0.5819028222286878,0.2909514111143439,0.0,8.728542333430317,2.0366598778004072,16.584230433517604,0.2909514111143439,0.5819028222286878,0.0,6.109979633401222,0.5819028222286878,0.8728542333430317,0.0,26.18562700029095,0.0,0.5819028222286878,0.2909514111143439,0.2909514111143439,1.4547570555717195,33.75036368926389,0.0,6.109979633401222,13.674716322374163,0.5819028222286878,62.55455338958393,7.273785277858598,9.01949374454466,0.5819028222286878,4.946173988943846,2.0366598778004072
Ecclesiastes,250,4.4885424049137725,7.087172218284904,7.7958894401133945,12.284431845027168,0.7087172218284905,12.756909992912828,2.1261516654854713,2.5986298133711316,0.0,5.433498700685093,0.0,7.5596503661705645,0.0,12.520670918969998,4.016064257028112,2.1261516654854713,0.7087172218284905,0.4724781478856603,0.0,1.417434443656981,3.071107961256792,0.0,2.3623907394283012,0.7087172218284905,0.0,0.0,0.0,3.7798251830852823,0.0,12.520670918969998,1.1811953697141506,23.860146468225846,0.0,0.7087172218284905,0.0,13.465627214741318,0.7087172218284905,1.417434443656981,0.0,25.750059059768486,0.0,0.0,0.7087172218284905,0.0,2.1261516654854713,27.167493503425465,0.0,6.850933144342074,17.2454523978266,0.0,72.52539570044885,4.7247814788566025,6.142215922513584,0.9449562957713206,10.158280179541697,1.1811953697141506
Esther,350,5.842891149101926,6.924908028565246,3.246050638389959,4.760874269638607,0.8656135035706557,10.603765418740533,2.596840510711967,1.7312270071413114,0.43280675178532785,6.275697900887254,0.43280675178532785,3.246050638389959,0.21640337589266392,17.095866695520453,6.708504652672581,0.6492101276779918,0.8656135035706557,0.43280675178532785,0.21640337589266392,0.0,0.6492101276779918,0.0,2.164033758926639,1.2984202553559836,0.0,0.0,0.21640337589266392,0.6492101276779918,0.0,3.029647262497295,1.7312270071413114,23.587967972300365,0.43280675178532785,0.0,0.0,3.246050638389959,1.2984202553559836,0.6492101276779918,0.0,38.303397533001515,0.21640337589266392,0.21640337589266392,1.9476303830339754,0.6492101276779918,3.462454014282623,35.057346894611555,0.0,12.767799177667172,7.357714780350574,0.0,91.53862800259684,5.626487773209262,3.462454014282623,1.0820168794633196,6.708504652672581,4.760874269638607
