feature,rho,p_raw,p_lt_0.10,loo_robust,ling_filter,in_model,description
lex::CRT[,0.4197735296868083,0.0517859112576934,True,False,False,False,Lexeme CRT[ (verb) rate per 1k words
lex::QRJH/,-0.4196190239337049,0.0518811098474424,True,False,False,False,Lexeme QRJH/ (noun) rate per 1k words
lex::DHB/,0.4161950573851823,0.0540256300011263,True,False,False,False,Lexeme DHB/ (noun) rate per 1k words
lex::>DJN,0.4161950573851823,0.0540256300011263,True,False,True,True,Lexeme >DJN (adverb) rate per 1k words
lex::MLKW/,0.4161950573851823,0.0540256300011263,True,False,False,False,Lexeme MLKW/ (noun) rate per 1k words
lex::NBWKDNYR/,0.4161950573851823,0.0540256300011263,True,False,False,False,Lexeme NBWKDNYR/ (proper-noun) rate per 1k words
lex::<LM/,0.4161950573851823,0.0540256300011263,True,False,False,False,Lexeme <LM/ (noun) rate per 1k words
lex::>NC/,0.4161950573851823,0.0540256300011263,True,False,False,False,Lexeme >NC/ (noun) rate per 1k words
lex::DRK[,-0.4153466452833462,0.0545674085965734,True,False,False,False,Lexeme DRK[ (verb) rate per 1k words
lex::RDP[,-0.4148677803986437,0.0548750411766301,True,False,False,False,Lexeme RDP[ (verb) rate per 1k words
lex::SPR/,0.4082954473733263,0.0592333356999476,True,False,False,False,Lexeme SPR/ (noun) rate per 1k words
lex::JDH[,0.4078806037416166,0.0595170593831259,True,False,False,False,Lexeme JDH[ (verb) rate per 1k words
lex::>JPH/,-0.4071110176968211,0.0600461537639998,True,False,False,False,Lexeme >JPH/ (noun) rate per 1k words
lex::BD/,0.4070172983823666,0.0601108311083788,True,False,False,False,Lexeme BD/ (noun) rate per 1k words
lex::JHWH/,-0.4027699908655509,0.0630982745103907,True,False,False,False,Lexeme JHWH/ (proper-noun) rate per 1k words
lex::GPN/,-0.4026109164509901,0.0632123206690125,True,False,False,False,Lexeme GPN/ (noun) rate per 1k words
lex::C>RJT/,-0.4011740151516986,0.0642496174129292,True,False,False,False,Lexeme C>RJT/ (noun) rate per 1k words
lex::SRJS/,0.4001847432936616,0.0649712675059837,True,False,False,False,Lexeme SRJS/ (noun) rate per 1k words
lex::MJM/,-0.4001183376174787,0.0650199287440494,True,False,False,False,Lexeme MJM/ (noun) rate per 1k words
lex::QWH[,-0.3997998843668036,0.0652536725840839,True,False,False,False,Lexeme QWH[ (verb) rate per 1k words
lex::KJ,-0.3995480384412702,0.0654389788868038,True,False,True,True,Lexeme KJ (conj) rate per 1k words
lex::JFR>L/,-0.39898066588741,0.0658579130491461,True,False,False,False,Lexeme JFR>L/ (proper-noun) rate per 1k words
lex::ZR<[,-0.3988067188152327,0.065986758697394,True,False,False,False,Lexeme ZR<[ (verb) rate per 1k words
lex::K,-0.3967223804607803,0.0675456049064282,True,False,True,True,Lexeme K (prep) rate per 1k words
lex::BHL[,0.3962705870580611,0.0678871480229278,True,False,False,False,Lexeme BHL[ (verb) rate per 1k words
lex::FB<[,-0.3962543124693016,0.067899475547517,True,False,False,False,Lexeme FB<[ (verb) rate per 1k words
lex::YB>/,-0.3956817587318195,0.06833424967961,True,False,False,False,Lexeme YB>/ (noun) rate per 1k words
morph::abs_count,-0.3955921172685843,0.0684025104036064,True,False,True,True,Noun in absolute state (count)
lex::CBJ<J/,0.3936491169150066,0.0698948158463819,True,False,False,False,Lexeme CBJ<J/ (adjective) rate per 1k words
lex::MRDKJ/,0.3919625109706056,0.0712100647305537,True,False,False,False,Lexeme MRDKJ/ (proper-noun) rate per 1k words
lex::JW>B/,0.3919625109706056,0.0712100647305537,True,False,False,False,Lexeme JW>B/ (proper-noun) rate per 1k words
lex::ZR/,-0.3915988610977409,0.0714960813586386,True,False,False,False,Lexeme ZR/ (adjective) rate per 1k words
lex::NVH[,-0.3914245169645219,0.0716335133634805,True,False,False,False,Lexeme NVH[ (verb) rate per 1k words
lex::>XR=/,0.3909865298810834,0.0719796503809856,True,False,False,False,Lexeme >XR=/ (adjective) rate per 1k words
lex::CPV[,-0.3905132016511426,0.0723551358588015,True,False,False,False,Lexeme CPV[ (verb) rate per 1k words
lex::LWJ/,0.3895325549923898,0.0731377745770904,True,False,False,False,Lexeme LWJ/ (adjective) rate per 1k words
lex::HW>,-0.3893756697115066,0.0732635725145185,True,False,True,True,Lexeme HW> (pronoun) rate per 1k words
lex::CLMH=/,0.389122202920094,0.0734671587871259,True,False,False,False,Lexeme CLMH=/ (proper-noun) rate per 1k words
lex::G>L[,-0.3881817680689648,0.0742262523435625,True,False,False,False,Lexeme G>L[ (verb) rate per 1k words
lex::JXF[,0.3881754335699234,0.07423138534023,True,False,False,False,Lexeme JXF[ (verb) rate per 1k words
lex::JJN/,-0.3876146395669326,0.0746868712313755,True,False,False,False,Lexeme JJN/ (noun) rate per 1k words
lex::GDWL/,0.3871151433271147,0.075094339942268,True,False,False,False,Lexeme GDWL/ (adjective) rate per 1k words
lex::PC<[,-0.3860409716807395,0.075976273341487,True,False,False,False,Lexeme PC<[ (verb) rate per 1k words
lex::PNH/,0.3859848801349188,0.0760225396259513,True,False,False,False,Lexeme PNH/ (noun) rate per 1k words
lex::PQD[,-0.3857442453381717,0.0762212642262709,True,False,False,False,Lexeme PQD[ (verb) rate per 1k words
lex::RGZ[,-0.384857994150789,0.0769565318899609,True,False,False,False,Lexeme RGZ[ (verb) rate per 1k words
lex::JCW</,0.3815480481187296,0.0797497855868636,True,False,False,False,Lexeme JCW</ (proper-noun) rate per 1k words
lex::>JK,-0.3804197635757387,0.0807190965529665,True,False,True,True,Lexeme >JK (interrogative) rate per 1k words
lex::JYR[,-0.3798122416977554,0.0812446597478867,True,False,False,False,Lexeme JYR[ (verb) rate per 1k words
lex::LBC[,0.3792803463517096,0.0817068980853429,True,False,False,False,Lexeme LBC[ (verb) rate per 1k words
lex::V<M/,0.3787461504534919,0.0821731131747805,True,False,False,False,Lexeme V<M/ (noun) rate per 1k words
lex::MCLM/,0.378707740068218,0.0822067120185096,True,False,False,False,Lexeme MCLM/ (proper-noun) rate per 1k words
lex::CM<JH/,0.378707740068218,0.0822067120185096,True,False,False,False,Lexeme CM<JH/ (proper-noun) rate per 1k words
lex::CW<R/,0.378707740068218,0.0822067120185096,True,False,False,False,Lexeme CW<R/ (noun) rate per 1k words
lex::MW>B/,-0.3779464206080786,0.082874785265706,True,False,False,False,Lexeme MW>B/ (proper-noun) rate per 1k words
lex::JQR/,0.3740520560416757,0.0863557887778532,True,False,False,False,Lexeme JQR/ (adjective) rate per 1k words
lex::BGD[,-0.3724631401365948,0.0878069005297387,True,False,False,False,Lexeme BGD[ (verb) rate per 1k words
lex::JRC[,-0.3723915599226196,0.0878726969071255,True,False,False,False,Lexeme JRC[ (verb) rate per 1k words
vs::nif,-0.3707263270402733,0.089413746046145,True,False,True,True,Verbal stem nif rate per 1k words
lex::DRJWC/,0.370170887546637,0.0899322010324469,True,False,False,False,Lexeme DRJWC/ (proper-noun) rate per 1k words
lex::ML>KH/,0.3690460471078187,0.0909889735647015,True,False,False,False,Lexeme ML>KH/ (noun) rate per 1k words
lex::BQ<[,-0.3683687715330024,0.0916296903521956,True,False,False,False,Lexeme BQ<[ (verb) rate per 1k words
lex::JC/,0.3671610050689597,0.0927805516423675,True,False,False,False,Lexeme JC/ (noun) rate per 1k words
lex::ZH,0.365259998813119,0.0946136176799579,True,False,True,True,Lexeme ZH (dem-pronoun) rate per 1k words
