feature,rho,p_raw,rank,p_bh,bh_significant,loo_frac,loo_robust,passes,description
lex::NYL[,-0.5279900544635708,0.01154675313756547,58,0.148316053232522,False,1.0,True,True,Lexeme NYL[ (verb) rate per 1k words
lex::RXM[,-0.5279777935214007,0.011549034701560094,59,0.1458310314010554,False,1.0,True,True,Lexeme RXM[ (verb) rate per 1k words
lex::XRB[,-0.5258177441031366,0.01195677887475144,60,0.14846333769483036,False,1.0,True,True,Lexeme XRB[ (verb) rate per 1k words
lex::J<QB/,-0.5207547312065318,0.012958734322736103,61,0.15826650935144912,False,1.0,True,True,Lexeme J<QB/ (proper-noun) rate per 1k words
lex::MCPV/,-0.5191282527739597,0.013294759746609904,62,0.15975154856813512,False,1.0,True,True,Lexeme MCPV/ (noun) rate per 1k words
lex::R<H[,-0.5179986211747887,0.01353228857354657,63,0.16002468233797132,False,1.0,True,True,Lexeme R<H[ (verb) rate per 1k words
lex::CM,-0.5114568804361673,0.01497670592373261,64,0.1743382173934499,False,1.0,True,True,Lexeme CM (adverb) rate per 1k words
lex::B,-0.5097486996803758,0.015373782593735433,65,0.1762072004974292,False,1.0,True,True,Lexeme B (prep) rate per 1k words
lex::<FRJM/,0.5090639993099273,0.015535323683018973,66,0.1753608506643808,False,1.0,True,True,Lexeme <FRJM/ (noun) rate per 1k words
lex::>XCWRWC/,0.505574832991071,0.016380040696974546,67,0.18213627342158265,False,0.9545454545454546,True,True,Lexeme >XCWRWC/ (proper-noun) rate per 1k words
lex::DT/,0.505574832991071,0.016380040696974546,68,0.17945779881244173,False,0.9545454545454546,True,True,Lexeme DT/ (noun) rate per 1k words
lex::DBR/,0.5041018589254702,0.016747627290912934,69,0.18082583089463966,False,1.0,True,True,Lexeme DBR/ (noun) rate per 1k words
lex::<FR/,0.5038192961618533,0.016818899058394475,70,0.1790011399786269,False,0.9545454545454546,True,True,Lexeme <FR/ (noun) rate per 1k words
lex::PRJ/,-0.5020609716247589,0.017267941145657956,71,0.18119177681007292,False,0.8636363636363636,True,True,Lexeme PRJ/ (noun) rate per 1k words
lex::ML>KT/,0.5002624194128209,0.017737233246842017,72,0.18353109401246254,False,1.0,True,True,Lexeme ML>KT/ (noun) rate per 1k words
lex::MBYR/,-0.5002057295722915,0.017752190949036486,73,0.18116961995934497,False,1.0,True,True,Lexeme MBYR/ (noun) rate per 1k words
lex::PCR/,0.49943406886221875,0.01795680988922899,74,0.18078139685777836,False,0.9090909090909091,True,True,Lexeme PCR/ (noun) rate per 1k words
vs::piel,-0.49618554137402443,0.018839196241826922,75,0.1871360160021474,False,1.0,True,True,Verbal stem piel rate per 1k words
lex::JHWDJ/,0.4947950705667791,0.019227411033948316,76,0.18847922658278285,False,1.0,True,True,Lexeme JHWDJ/ (adjective) rate per 1k words
lex::CBR/,-0.49327762676987447,0.019658403537787868,77,0.19020143682664883,False,1.0,True,True,Lexeme CBR/ (noun) rate per 1k words
lex::GBWL/,-0.49156095086535073,0.020155322806681714,78,0.19250917296125483,False,1.0,True,True,Lexeme GBWL/ (noun) rate per 1k words
lex::BZH[,0.4882053632555313,0.021155814837671587,79,0.1995073677729789,False,1.0,True,True,Lexeme BZH[ (verb) rate per 1k words
lex::CBV/,-0.48491823531311623,0.022174180694054916,80,0.2064970577133864,False,0.8636363636363636,True,True,Lexeme CBV/ (noun) rate per 1k words
lex::DNJ>L/,0.48483920822116694,0.022199138643897918,81,0.20417726283585125,False,0.9545454545454546,True,True,Lexeme DNJ>L/ (proper-noun) rate per 1k words
lex::CNJM/,0.4795272402628001,0.02392908338823785,82,0.21740447712484384,False,1.0,True,True,Lexeme CNJM/ (noun) rate per 1k words
lex::TC</,0.4794521059075984,0.02395430302354644,83,0.21501151509086863,False,0.9090909090909091,True,True,Lexeme TC</ (noun) rate per 1k words
lex::<L,-0.4781013302988891,0.024411341158762662,84,0.21650534718188313,False,0.8636363636363636,True,True,Lexeme <L (prep) rate per 1k words
lex::J<R/,-0.4745937150414462,0.025630739504981306,85,0.22464589330836554,False,0.8181818181818182,True,True,Lexeme J<R/ (noun) rate per 1k words
lex::CWCN=/,0.47433144443544306,0.025723832061821335,86,0.22284017309368484,False,0.9090909090909091,True,True,Lexeme CWCN=/ (proper-noun) rate per 1k words
lex::KKR/,0.47329541754923443,0.026094207102942062,87,0.2234503941573774,False,0.9545454545454546,True,True,Lexeme KKR/ (noun) rate per 1k words
