id,date_bce,date_sigma,register,genre,holdout,n_words,frac_ani,rate_anochi,rate_ani,frac_she,rate_asher,frac_ein,rate_neg_al,frac_neg_al,rate_neg_lo,rate_ki,rate_gam,rate_lakhen,rate_hinne,rate_atta,rate_az,rate_af,rate_wayyiqtol,rate_qatal,rate_yiqtol,rate_ptca,rate_ptcp,rate_inf_abs,rate_inf_con,rate_impv,rate_jussive,rate_cohort,rate_qal,rate_hiphil,rate_piel,rate_niphal,rate_hithpael,rate_hophal,frac_baqash,rate_baqash,rate_shaal,frac_qahal,rate_hayah,rate_amar,rate_natan,rate_halak,rate_const,rate_prs,rate_pl_noun,rate_f_noun,frac_anachnu,rate_pen,rate_terem,rate_na,frac_halak_piel,frac_ysf_qal,frac_niphal,frac_yld_nif,frac_zaqaq,rate_ut_nouns,frac_nmcl,frac_fronted,frac_cpen,frac_ptcp_cl,frac_infc,frac_wqtl_wayq,rate_cpen_1k,frac_sv,frac_null_subj,frac_ov
Ezra,380.0,60.0,LBH,narrative,False,5268,1.0,0.0,0.3796507213363705,0.04,4.555808656036446,0.1290322580645161,3.7965072133637054,0.425531914893617,5.125284738041002,4.555808656036446,0.1898253606681852,0.0,0.1898253606681852,1.1389521640091116,0.0,0.3796507213363705,16.324981017463934,31.32118451025057,14.806378132118452,17.843583902809414,3.60668185269552,0.3796507213363705,18.413059984813973,3.227031131359149,0.0,0.0,36.826119969627946,11.009870918754746,7.21336370539104,5.315110098709187,2.847380410022779,0.7593014426727411,0.5,0.7593014426727411,0.7593014426727411,1.0,0.9491268033409264,3.7965072133637054,4.176157934700076,1.3287775246772968,120.34927866362946,65.6795747911921,126.2338648443432,67.00835231586939,1.0,0.0,0.0,0.1898253606681852,0.0,0.0,0.050179211469534,1.0,,3.416856492027335,0.3100263852242744,0.2242744063324538,0.0184696569920844,0.0883905013192612,0.1279683377308707,0.4027777777777778,2.6575550493545936,0.4485294117647059,0.5813953488372093,0.2033898305084746
Nehemiah,380.0,60.0,LBH,narrative,False,7842,0.9375,0.1275184901810762,1.912777352716144,0.0,12.24177505738332,0.1466666666666666,7.778627901045652,0.488,8.16118337158888,5.228258097424127,2.1678143330782964,0.0,0.510073960724305,0.6375924509053813,0.0,0.2550369803621525,33.66488140780413,32.517214996174445,14.537107880642694,23.20836521295588,4.08059168579444,1.2751849018107626,12.496812037745473,3.825554705432288,0.0,0.0,80.20913032389697,24.10099464422341,10.2014792144861,7.906146391226727,1.7852588625350676,0.0,0.75,0.7651109410864575,0.2550369803621525,1.0,6.12088752869166,7.778627901045652,5.483295077786279,1.6577403723539914,101.12216271359348,83.7796480489671,115.02167814333076,65.54450395307319,1.0,0.0,0.0,0.7651109410864575,0.0,0.0,0.0629441624365482,0.0,,2.8054067839836776,0.1912811387900355,0.244661921708185,0.0115658362989323,0.1218861209964412,0.0854092526690391,0.2747252747252747,1.6577403723539914,0.2653061224489796,0.6862745098039216,0.2094240837696335
Esther,300.0,60.0,LBH,narrative,False,4621,1.0,0.0,1.2984202553559836,0.0,21.423934213373727,0.2564102564102564,12.767799177667172,0.6704545454545454,6.275697900887254,7.14131140445791,1.7312270071413114,0.0,0.6492101276779918,0.0,0.0,0.0,34.408136766933566,35.706557022289545,15.36463968837914,21.207530837481062,3.462454014282623,3.462454014282623,24.020774724085697,2.596840510711967,0.0,0.0,90.6730144990262,16.446656567842457,13.417009305345164,16.230253191949792,1.2984202553559836,0.6492101276779918,1.0,1.9476303830339756,0.0,,3.678857390175287,11.252975546418524,6.275697900887254,0.8656135035706557,88.94178749188488,64.05539926422853,51.07119671066869,73.36074442761307,,0.0,0.0,0.0,0.0,0.0,0.1157407407407407,,,6.05929452499459,0.1416058394160584,0.2481751824817518,0.0072992700729927,0.0948905109489051,0.1591240875912409,0.2167487684729064,1.0820168794633196,0.2323232323232323,0.5024630541871922,0.1458333333333333
Ecclesiastes,250.0,120.0,LBH,wisdom,False,4233,1.0,0.0,6.850933144342074,0.4331210191082802,21.025277580911883,0.4036697247706422,5.433498700685093,0.2613636363636363,15.35553980628396,20.552799433026223,13.701866288684148,0.0,1.417434443656981,0.0,0.2362390739428301,0.0,0.7087172218284905,48.429010158280185,51.97259626742263,27.40373257736829,3.071107961256792,4.961020552799433,25.04134183794,6.850933144342074,0.0,0.0,124.26175289392866,16.300496102055277,13.465627214741318,11.339475549255848,1.417434443656981,0.0,0.7777777777777778,1.653673517599811,0.4724781478856603,,11.103236475313016,4.7247814788566025,5.905976848570754,7.087172218284904,74.88778643987716,70.16300496102056,54.57122608079376,52.44507441530829,,0.0,0.0,0.2362390739428301,0.1,0.0,0.0673211781206171,0.4,,5.433498700685093,0.291363163371488,0.3059313215400624,0.0395421436004162,0.0832466181061394,0.1103017689906347,0.953846153846154,8.977084809827545,0.398876404494382,0.5886214442013129,0.25
Genesis,,,,,False,28764,0.422680412371134,1.9468780419969407,1.4253928521763315,0.0024271844660194,14.28869420108469,0.1485943775100401,16.513697677652623,0.6914119359534207,7.370324016131275,10.082047003198442,3.2679738562091503,0.0695313586427478,4.345709915171743,1.3906271728549575,0.2085940759282436,0.4519538311778612,73.21652065081352,38.589904046725074,23.779724655819777,11.333611458767905,1.5644555694618272,1.9121123626755667,15.157836184119036,10.360172437769434,0.0,0.0,134.4736476150744,17.521902377972467,12.585175914337366,7.335558336809901,1.4949242108190792,0.7300792657488527,0.2777777777777778,0.1738283966068697,0.4519538311778612,1.0,10.985954665554164,21.068001668752608,5.21485189820609,4.206647197886246,73.66847448199138,116.39549436795996,63.62119315811431,57.29383952162425,0.9444444444444444,0.5910165484633569,0.0,2.572660269781672,0.0,0.1428571428571428,0.041699604743083,0.0411764705882352,,2.5378945904602976,0.1404844290657439,0.2096885813148788,0.015916955017301,0.0432525951557093,0.0752595155709342,0.1359901396877567,3.1984424975664023,0.1679284239504473,0.6342980148289883,0.1
Exodus,,,,,False,23748,0.639344262295082,0.9263938015832912,1.642243557352198,0.0,13.011622031328956,0.0827067669172932,16.759306046824996,0.6199376947040498,10.274549435741957,8.33754421424962,1.6843523665150748,0.0421088091628768,1.726461175677952,0.8421761832575374,0.336870473303015,0.4210880916287687,37.39262253663466,45.68805794172141,34.48711470439616,12.00101061141991,3.326595923867273,2.4423109314468583,14.611756779518275,8.253326595923868,0.0,0.0,109.9882095334344,16.464544382684856,19.37005221492336,7.53747684015496,0.7579585649317837,2.3159845039582283,0.4166666666666667,0.2105440458143843,0.2947616641401381,0.1176470588235294,9.895570153276063,12.590533939700183,4.8425130537308405,3.073943068890012,91.50244231093146,93.9447532423783,78.02762337881084,69.26899107293245,0.3333333333333333,0.5474145191173994,0.0,0.6316321374431532,0.0,0.0,0.0476443971253659,0.0,,3.3687047330301496,0.1313403577554521,0.2675814751286449,0.0112717471208037,0.0450869884832149,0.0835579514824797,0.4224983649444081,1.9370052214923363,0.1742826780021254,0.6693657219973009,0.1217312894499549
Leviticus,,,,,False,17099,1.0,0.0,4.15228960757939,0.0,18.07123223580326,0.0693069306930693,14.26984034154044,0.4638783269961977,16.492192525878707,8.538511024036493,0.1754488566582841,0.0,1.520556757705129,0.0,0.2339318088777121,0.0,11.0532779694719,53.45341832855723,52.28375928416867,12.22293701386046,1.9884203754605527,2.222352184338265,11.63810749166618,2.3978010409965496,0.0,0.0,87.37353061582549,23.21773203111293,20.761448037896955,10.76086320837476,1.6375226621439851,2.5732498976548337,1.0,0.058482952219428,0.0,0.2941176470588235,8.59699397625592,4.678636177554243,5.029533890870812,1.1696590443885608,90.06374641791918,103.8657231417042,55.26638984735949,79.8877127317387,,0.058482952219428,0.0,0.0,0.0,0.6363636363636364,0.0730738681493248,0.2,,0.9942101877302766,0.1635031635031635,0.319014319014319,0.0442890442890442,0.0496170496170496,0.0652680652680652,0.7993630573248408,7.778232645183929,0.23,0.6873156342182891,0.192170818505338
Numbers,,,,,False,23188,0.75,0.3018802829049508,0.9056408487148524,0.0,12.722097636708645,0.0909090909090909,15.4390201828532,0.6532846715328468,8.19389339313438,5.606348111091944,0.819389339313438,0.1293772641021217,1.2075211316198031,0.6468863205106089,0.0431257547007072,0.6468863205106089,32.344316025530446,36.74314300500259,29.368638951181648,12.247714335000865,5.99447990339831,1.638778678626876,13.498361221321373,5.821976884595481,0.0,0.0,98.88735552872176,14.921511126444711,13.929618768328446,6.468863205106089,1.9406589615318268,0.8625150940141452,0.6666666666666666,0.0862515094014145,0.0431257547007072,0.1263157894736842,7.762635846127307,10.608935656373989,5.175090564084871,1.9406589615318268,116.05140589960324,81.50767638433673,78.66137657409004,77.2382266689667,0.8333333333333334,0.1293772641021217,0.0,0.819389339313438,0.0,0.2222222222222222,0.0469924812030075,0.1428571428571428,,3.191305847852337,0.1913875598086124,0.2477405635300372,0.0273790536948431,0.0587453482190324,0.0818713450292397,0.3862520458265139,4.441952734172848,0.1843003412969283,0.6221389929255098,0.1411764705882353
Deuteronomy,,,,,False,20128,0.1384615384615384,2.7821939586645468,0.4471383147853736,0.0,29.01430842607313,0.0678733031674208,10.333863275039745,0.3354838709677419,20.468998410174883,13.712241653418124,1.043322734499205,0.0,0.4968203497615261,0.4471383147853736,0.0993640699523052,0.645866454689984,12.619236883942769,58.47575516693164,50.77503974562799,19.72376788553259,4.024244833068362,3.179650238473768,22.505961844197135,5.465023847376789,0.0,0.0,125.04968203497616,21.810413354531004,18.92885532591415,7.849761526232114,1.6891891891891893,0.5465023847376789,0.2,0.0993640699523052,0.397456279809221,1.0,8.4956279809221,7.054848966613672,8.744038155802862,2.633147853736089,71.0949920508744,144.22694753577107,74.9701907790143,52.16613672496025,1.0,1.3910969793322734,0.0,0.0993640699523052,0.0,0.2666666666666666,0.044406970207982,0.25,,1.6891891891891893,0.099242833964305,0.3628988642509465,0.0148729042725797,0.0773391022174148,0.1219578150351541,0.7302771855010661,2.7325119236883944,0.1933333333333333,0.7162002364998029,0.1707317073170731
Isaiah_1,720.0,30.0,SBH,prophecy,False,13504,0.6153846153846154,0.3702606635071089,0.5924170616113744,0.0,8.367890995260662,0.1271929824561403,9.108412322274882,0.3819875776397515,14.736374407582938,14.06990521327014,1.110781990521327,1.555094786729858,3.110189573459716,1.2588862559241707,0.3702606635071089,1.4069905213270142,11.996445497630331,67.60959715639811,54.28021327014218,30.287322274881515,5.405805687203792,4.146919431279621,14.44016587677725,13.255331753554502,0.0,0.0,132.8495260663507,25.54798578199052,16.143364928909953,17.69845971563981,2.5177725118483414,1.851303317535545,0.25,0.0740521327014218,0.2221563981042653,,11.848341232227488,10.293246445497632,1.4810426540284358,2.5177725118483414,85.53021327014218,90.56575829383888,64.64751184834124,65.38803317535545,1.0,0.2962085308056872,0.0,0.9626777251184834,0.0,0.3125,0.0878676470588235,0.0,,3.036137440758294,0.142755428978284,0.3150587397650409,0.0138839444642221,0.0701317194731221,0.0687077251690993,0.7182608695652174,2.8880331753554502,0.3293010752688172,0.6031344792719919,0.236328125
Isaiah_2,545.0,20.0,Transitional,prophecy,False,5738,0.7432432432432432,3.3112582781456954,9.58522133147438,0.0,5.4025792959219245,0.2211538461538461,6.971070059254096,0.198019801980198,28.23283373997909,14.464970372952248,1.742767514813524,0.6971070059254095,3.3112582781456954,1.742767514813524,1.2199372603694667,0.5228302544440572,8.539560822586266,68.66504008365284,92.71523178807948,37.29522481700941,4.35691878703381,1.5684907633321714,10.630881840362497,24.573021958870687,0.0,0.0,161.03171836876962,38.16660857441617,23.004531195538515,16.03346113628442,4.008365284071105,1.742767514813524,0.7142857142857143,0.871383757406762,0.3485535029627047,,4.182642035552457,13.070756361101427,5.228302544440571,3.3112582781456954,59.07981875217845,144.82398048100384,65.35378180550714,58.2084349947717,1.0,0.3485535029627047,0.0,0.5228302544440572,0.0,0.0,0.0645614035087719,0.0,,2.4398745207389334,0.1312335958005249,0.374015748031496,0.0150918635170603,0.082020997375328,0.0400262467191601,0.6230769230769231,4.008365284071105,0.5020408163265306,0.7502246181491464,0.2826855123674912
Isaiah_3,400.0,100.0,Transitional,prophecy,False,3689,0.8888888888888888,0.5421523448088913,4.33721875847113,0.0,7.319056654920033,0.1717171717171717,4.879371103280022,0.18,22.228246137164543,15.993494171862292,1.626457034426674,0.5421523448088913,4.608294930875576,0.5421523448088913,1.0843046896177826,1.0843046896177826,8.945513689346708,66.14258606668474,73.19056654920033,37.137435619409054,4.066142586066685,5.421523448088913,15.722417999457848,9.487666034155597,0.0,0.0,137.7066955814584,29.005150447275685,27.64976958525346,17.077798861480076,5.150447275684467,0.813228517213337,0.3333333333333333,0.2710761724044456,0.5421523448088913,,7.319056654920033,8.945513689346708,1.626457034426674,2.439685551640011,73.73271889400921,148.27866630523175,71.8351856871781,60.72106261859582,1.0,0.0,0.0,0.2710761724044456,0.1111111111111111,,0.0775862068965517,0.1428571428571428,,0.5421523448088913,0.1212841854934601,0.3638525564803805,0.0178359096313912,0.1034482758620689,0.0677764565992865,0.753731343283582,4.066142586066685,0.4945054945054945,0.6407599309153713,0.2760736196319018
Zechariah_1,518.0,10.0,Transitional,prophecy,False,2484,1.0,0.0,3.6231884057971016,0.0,11.272141706924316,0.0909090909090909,24.9597423510467,0.7560975609756098,8.051529790660224,10.064412238325282,1.6103059581320451,0.4025764895330113,6.843800322061192,0.4025764895330113,0.0,0.0,38.64734299516908,55.55555555555555,23.752012882447666,30.193236714975843,0.4025764895330113,2.415458937198068,22.544283413848632,10.064412238325282,0.0,0.0,146.1352657004831,13.285024154589372,12.07729468599034,8.051529790660224,2.415458937198068,1.207729468599034,1.0,1.207729468599034,0.0,,12.07729468599034,38.64734299516908,2.415458937198068,6.038647342995169,72.86634460547505,83.33333333333333,72.46376811594203,59.17874396135266,,0.0,0.0,1.207729468599034,0.0,,0.043859649122807,,,0.8051529790660226,0.1628787878787878,0.1950757575757575,0.0189393939393939,0.1193181818181818,0.106060606060606,0.3557046979865771,4.025764895330112,0.303030303030303,0.6634615384615384,0.1641791044776119
Zechariah_2,350.0,150.0,LBH,prophecy,False,1987,0.2857142857142857,2.5163563160543534,1.0065425264217414,0.0,8.05234021137393,0.0588235294117647,7.0457976849521895,0.3043478260869565,16.10468042274786,12.581781580271766,4.026170105686965,0.5032712632108707,3.019627579265224,0.5032712632108707,0.0,0.5032712632108707,9.562154001006542,66.9350780070458,54.35329642677403,31.20281831907398,0.5032712632108707,2.5163563160543534,7.54906894816306,7.0457976849521895,0.0,0.0,121.7916456970307,22.14393558127831,11.575239053850025,18.117765475591344,1.0065425264217414,1.509813789632612,0.6666666666666666,1.0065425264217414,0.5032712632108707,,18.62103673880221,6.542526421741319,0.5032712632108707,1.0065425264217414,86.56265727226975,88.57574232511324,59.88928032209361,56.36638147961752,,0.0,0.0,0.0,0.0,,0.1008403361344537,0.0,,0.5032712632108707,0.1212121212121212,0.2782369146005509,0.0055096418732782,0.0771349862258953,0.0413223140495867,0.8403361344537815,1.0065425264217414,0.3168316831683168,0.6167883211678832,0.1969696969696969
Chronicles,330.0,40.0,LBH,narrative,False,35330,0.967741935483871,0.0283045570336824,0.8491367110104727,0.0057636887608069,9.765072176620436,0.1382113821138211,6.510048117746957,0.5203619909502263,6.000566091140674,8.321539767902633,1.3303141805830738,0.0283045570336824,1.3586187376167562,1.1887913954146618,0.3962637984715539,0.339654684404189,41.09821681290688,32.94650438720634,9.906594961788848,13.529578262100198,2.6889329181998303,0.7642230399094254,17.0676478913105,4.6702519105576,0.0,0.0,79.98867817718653,22.105859043305973,9.736767619586754,6.340220775544863,3.000283045570337,0.537786583639966,0.5416666666666666,0.3679592414378715,0.3113501273705066,0.9705882352941176,6.7364845740164165,7.2459666006227,4.358901783187093,2.122841777526182,98.78290404755168,74.04472120011322,92.98046985564676,55.73167279932069,1.0,0.0283045570336824,0.0,0.2264364562694593,0.0,0.0909090909090909,0.0516843562528841,0.081967213114754,,3.424851401075573,0.232734678763192,0.1929272356970931,0.0107387520829476,0.0670246250694315,0.1105350860951675,0.1962201222901612,1.6416643079535804,0.25,0.5838947706127687,0.1061061061061061
Daniel,167.0,10.0,LBH,apocalyptic,True,3437,0.9583333333333334,0.2909514111143439,6.69188245562991,0.0,13.674716322374165,0.1636363636363636,9.01949374454466,0.4025974025974026,13.38376491125982,6.9828338667442535,0.5819028222286878,0.0,3.200465522257783,2.0366598778004072,0.0,0.5819028222286878,26.476578411405296,54.69886528949665,39.278440500436425,25.603724178062265,2.3276112889147518,1.7457084666860634,17.457084666860634,7.273785277858598,0.0,0.0,100.08728542333432,30.54989816700611,14.83852196683154,20.07564736688973,7.564736688972942,1.4547570555717195,1.0,1.1638056444573757,0.0,,6.400931044515566,6.109979633401222,4.946173988943846,0.8728542333430317,81.17544370090195,100.37823683444864,75.64736688972941,67.50072737852778,1.0,0.0,0.0,0.5819028222286878,0.0,0.0,0.1148086522462562,0.0,,7.564736688972942,0.1342592592592592,0.2222222222222222,0.0123456790123456,0.0848765432098765,0.0925925925925925,0.55,2.3276112889147518,0.3953488372093023,0.6942528735632184,0.1348314606741573
