id,group,holdout,scholarly_bce,hb_map_bce,hb_ci_old_bce,hb_ci_yng_bce,hb_ci_width,hb_post_std,hb_in68,mle_map_bce,mle_ci_old_bce,mle_ci_yng_bce,mle_ci_width,mle_in68,hb_error_bce,mle_error_bce,delta_map
Haggai,Transitional,True,520.0,522.1175232330172,527.0301453637819,517.2049011022525,9.825244261529406,4.929666925808903,True,361.2606303151576,362.9664832416208,359.55477738869433,3.4117058529264455,False,2.1175232330172093,-158.73936968484242,160.85689291785962
Zechariah_1,Transitional,False,518.0,518.7562554593361,523.6688775901008,513.8436333285714,9.825244261529406,4.917853683904976,True,518.6143071535768,523.216608304152,514.0120060030015,9.204602301150544,True,0.7562554593361028,0.6143071535767604,0.14194830575934247
Isaiah_3,Transitional,False,500.0,522.4044060922469,544.1433347758132,489.574187264004,54.56914751180915,27.68037901422873,True,491.22061030515255,503.82691345672833,478.1640820410205,25.662831415707842,True,22.40440609224686,-8.779389694847453,31.18379578709431
Malachi,Transitional,False,460.0,450.2381046881446,466.2687663780083,433.948883938767,32.319882439241326,16.330743159212897,True,463.5217608804402,474.22211105552776,452.6663331665833,21.555777888944476,True,-9.761895311855426,3.5217608804401834,-13.28365619229561
Jonah,LBH,False,400.0,473.3663726966728,497.9593324553493,449.4205960895404,48.53873636580886,24.60521602733319,False,399.8749374687344,401.8759379689845,398.1240620310155,3.7518759379689754,True,73.36637269667278,-0.1250625312655984,73.49143522793838
Chronicles,LBH,False,350.0,368.3262384357149,388.3842031170268,346.72535339430203,41.65884972272477,20.94468149319552,True,350.5952976488244,352.4662331165583,348.72436218109056,3.741870935467773,True,18.326238435714913,0.5952976488243849,17.730940786890528
Esther,LBH,False,350.0,311.8980243286612,339.7863508906761,285.4041140947471,54.382236795928975,27.132488139196735,False,350.8754377188594,352.6263131565783,348.87443721860933,3.7518759379689754,True,-38.10197567133878,0.8754377188594162,-38.977413390198194
Ezra,LBH,False,350.0,352.9789031636473,380.0856815917852,324.6762374519152,55.409444139870004,27.776826581791696,True,349.1245622811406,351.2256128064032,347.3736868434217,3.851925962981511,True,2.978903163647317,-0.8754377188594162,3.854340882506733
Nehemiah,LBH,False,350.0,364.5391469050591,391.2472962386654,338.2296266659841,53.017669572681314,26.584226660546623,True,349.82491245622816,351.575787893947,347.7238619309655,3.851925962981511,True,14.539146905059113,-0.17508754377183777,14.71423444883095
Ecclesiastes,LBH,False,330.0,313.62203352946324,343.345409596373,285.5732138606893,57.77219573568368,28.656930038772305,True,329.86493246623314,331.615807903952,327.7638819409705,3.851925962981454,True,-16.377966470536762,-0.13506753376685765,-16.242898936769905
Daniel,LBH,True,167.0,180.4397656043638,189.8026213118061,170.71680006201996,19.085821249786136,9.595770435941889,False,385.6783391695848,393.5642821410705,377.792396198099,15.771885942971494,False,13.4397656043638,218.67833916958477,-205.23857356522097
D_source,LBH,False,625.0,394.0793391878317,426.4659064102876,362.58007517695,63.88583123333757,32.77750826944549,False,345.18509254627315,348.7868934467233,341.5832916458229,7.203601800900401,False,-230.9206608121683,-279.81490745372685,48.89424664155854
P_source,LBH,False,600.0,403.6841644392229,452.92949268158736,363.7555199183869,89.17397276320048,45.93183236751795,False,348.09904952476234,351.7008504252126,344.49724862431214,7.203601800900458,False,-196.3158355607771,-251.90095047523766,55.585114914460576
JE_source,LBH,False,800.0,531.3260022779207,587.4783796445307,467.8866751767125,119.5917044678182,55.7525559468947,False,347.023511755878,350.5052526263132,343.5417708854427,6.96348174087052,False,-268.6739977220793,-452.976488244122,184.30249052204266
