id,register,holdout,date_ce,author,dual_rate,goun_toinun_rate,hina_rate,tt_ss_ratio,men_rate,oun_rate,opt_rate,ptcp_rate,kai_rate,de_rate,avg_sent_len,idou_rate,eipen_rate,kai_sent_initial
dionysius_thucydides,Atticizing,False,-20,Dionysius of Halicarnassus,8.923591745677635,0.0,0.5577244841048522,0.59999999988,17.84718349135527,3.3463469046291134,66.92693809258226,163.97099832682656,56.88789737869492,23.982152816508645,12.807142857142857,0.0,0.0,0.02857142857122449
strabo_geography,Atticizing,False,-20,Strabo,8.463570167374396,0.6639524872681639,0.07296181178771032,0.6798634812282048,12.987202498212437,3.7283485823519973,89.56792015059318,187.78181499803003,69.2918326547885,36.53197916210655,17.216178872001006,0.0,0.0,0.06657455093580372
philo_de_opificio,Koine,False,40,Philo of Alexandria,8.712282192945176,0.0,1.274968125796855,0.6808510638153011,16.36209094772631,1.6999575010624735,92.86017849553761,192.30769230769232,72.46068848278793,27.411814704632384,9.102514506769825,0.0,0.21249468763280918,0.048355899419635674
philo_de_vita_mosis,Koine,False,40,Philo of Alexandria,9.193480986209778,0.41788549937317176,1.2536564981195153,0.7777777777345679,11.491851232762224,4.178854993731718,98.82992060175512,190.13790221479314,68.74216464688675,22.565816966151274,8.813996316758749,0.41788549937317176,0.0,0.05709023941057626
josephus_jewish_war,Koine,False,80,Josephus,8.63965475096722,1.4076315545478297,0.28658366978818095,0.4722689075622315,16.05711443960249,2.140948591946999,98.52577988688373,212.45121755915,52.09922538119842,28.506646212459643,20.23175306957708,0.0,0.0,0.0861186903137643
josephus_antiquities,Koine,False,93,Josephus,15.274701938537147,0.3716287959227012,0.5157297576070139,0.40808344198121504,10.69380820920426,2.495221915480994,90.82911142796469,215.14273579467888,60.29487607317295,26.628340867032733,20.595438925335834,0.0,0.007584261141279617,0.12199312714774727
vita_aesopi,Koine,False,50,Anonymous,14.697488584474886,3.4246575342465757,0.7134703196347032,0.9210526315547092,9.275114155251142,5.422374429223744,85.18835616438356,191.92351598173516,59.21803652968037,21.404109589041095,6.488888888888889,0.14269406392694065,0.42808219178082196,0.10185185185175755
john_gospel,Koine,False,100,John (anonymous),16.123724909509708,0.0,11.73631677086761,0.1249999999921875,0.7677964242623669,12.284742788197871,80.83799495448064,164.41811999561259,52.75858286717122,14.149391247120763,6.6644736842105265,0.21937040693210486,2.9615004935834155,0.08625730994145742
chariton_callirhoe,Koine,False,100,Chariton of Aphrodisias,11.508225950239078,1.0535699813599158,0.0,0.9772727272505166,15.560418186238755,1.7019207391198639,82.90785314855336,164.51900478158683,66.05073344679471,40.60296620471675,9.43348623853211,0.0,0.0,0.06498470948007264
ignatius_letters,Koine,False,108,Ignatius of Antioch,9.433962264150942,0.0,7.475970096119615,0.10256410256147272,1.4239943040227838,7.1199715201139195,93.44962620149519,154.32538269846918,52.33179067283731,12.993948024207903,6.291153415453527,0.0,0.0,0.04703247480397869
testament_abraham,LXX,False,100,Anonymous (Jewish pseudepigraphon),9.636767976278724,0.24709661477637757,1.9767729182110205,0.18181818180165288,1.4825796886582654,2.965159377316531,51.89028910303929,195.9476155176674,93.89671361502347,21.003212255992093,7.966535433070866,2.4709661477637757,0.0,0.16141732283432791
plutarch_lives,Atticizing,False,100,Plutarch,3.783783783783784,0.5405405405405406,0.0,0.7999999999466667,2.1621621621621623,1.0810810810810811,111.8918918918919,215.13513513513516,29.72972972972973,17.2972972972973,10.335195530726256,0.0,0.0,0.0
