rho,pair,mae
2.452831825256578391e-01,6.237288135593220817e-01,1.608091389163976999e+02
-1.963805699969945265e-02,4.915254237288135819e-01,1.753491567373939688e+02
8.663848676337992938e-02,5.830508474576271416e-01,1.496113799687322796e+02
-7.470162858709201992e-02,4.745762711864406902e-01,1.887906215773035683e+02
-1.058914838219087995e-01,4.576271186440677985e-01,1.975407384741168073e+02
-4.786295068750278103e-01,3.288135593220338770e-01,2.058204503861925048e+02
8.817872652806223177e-02,5.593220338983050377e-01,1.538279623853345299e+02
3.604161049356605084e-01,6.271186440677966045e-01,1.595598259858071231e+02
1.008857045866912994e-01,5.254237288135593653e-01,1.769345743422749422e+02
4.389683329344583329e-02,5.220338983050847315e-01,1.871303709032405038e+02
3.315366093478672171e-01,6.135593220338982912e-01,1.489650387569982115e+02
-1.062765437630793924e-01,4.542372881355932202e-01,1.880998146737940147e+02
4.901813051101451268e-01,6.847457627118643808e-01,1.279176996309227974e+02
-1.313054399391669069e-01,4.644067796610169552e-01,1.860565394504011465e+02
-6.777054964602163833e-02,5.322033898305085220e-01,1.455436531750729898e+02
-1.497883171153546467e-01,4.542372881355932202e-01,1.903165270205463742e+02
3.188296312892381912e-01,6.135593220338982912e-01,1.592079532639900208e+02
-1.340008595273609604e-01,4.542372881355932202e-01,1.961340017616508362e+02
-2.645361795841867369e-01,4.135593220338982801e-01,2.096495849564655600e+02
-1.990759895851885175e-01,4.372881355932203284e-01,2.007099612552542283e+02
3.292262497008437983e-01,6.101694915254237683e-01,1.507549043339990646e+02
-3.866001809352597740e-01,3.898305084745762872e-01,1.980537433968357846e+02
9.857534493966783884e-02,5.322033898305085220e-01,1.731292704132736162e+02
-1.717367337620775425e-01,4.474576271186440635e-01,1.969680213323698865e+02
3.061226532306091097e-01,6.135593220338982912e-01,1.471546794795326036e+02
-2.029265889968943359e-01,4.271186440677965934e-01,1.928801478565102343e+02
-5.845209906969366376e-01,2.847457627118644141e-01,2.352540421622911424e+02
-6.661536982250990113e-02,4.847457627118644252e-01,1.898651845188457514e+02
-3.038122935835856908e-01,3.932203389830508655e-01,2.149718961954018539e+02
-1.940702103499710729e-01,4.271186440677965934e-01,1.997328249901761126e+02
-3.973818592880359879e-01,3.559322033898305038e-01,2.067285204552278799e+02
1.540239764682309852e-02,4.983050847457627386e-01,1.684028042583503009e+02
3.850599411705774629e-03,4.949152542372881602e-01,1.626710108115974549e+02
2.325762044670287854e-01,5.796610169491525077e-01,1.710402934775613630e+02
-6.006935082261009168e-02,5.152542372881355748e-01,1.507603324336700723e+02
7.123608911655683607e-02,5.152542372881355748e-01,1.793626483811262631e+02
1.463227776448194351e-01,5.999999999999999778e-01,1.481918077492379666e+02
-1.305353200568257765e-01,4.949152542372881602e-01,1.478433036858419314e+02
-2.502889617608753531e-02,5.016949152542372614e-01,1.877000078809546437e+02
-2.306509047611759178e-01,4.271186440677965934e-01,2.080505020341152829e+02
-1.005006446455207203e-01,5.355932203389830448e-01,1.911988772616704466e+02
-1.597998755857896469e-01,4.745762711864406902e-01,1.685703099500477720e+02
-2.849443564662273443e-01,4.033898305084746005e-01,1.902307773884347739e+02
1.051213639395676552e-01,6.067796610169491345e-01,1.518293473066000843e+02
1.763574530561244635e-01,6.033898305084746116e-01,1.665486913101530035e+02
-5.290723591683734739e-01,3.152542372881356192e-01,2.252876969367233073e+02
3.688874236414131924e-01,6.440677966101694407e-01,1.473634941513866465e+02
-8.086258764582128500e-02,4.813559322033898469e-01,1.773212024201786789e+02
-1.386215788214079092e-01,4.779661016949152685e-01,2.101643149104717736e+02
-5.702737728736252398e-01,2.745762711864406791e-01,2.334896059646775655e+02
1.979208097616768081e-01,6.203389830508474478e-01,1.717712892408407299e+02
-1.351560393508726976e-01,4.610169491525423768e-01,1.864173502386941266e+02
3.061226532306091097e-01,6.779661016949152241e-01,1.486334231635853200e+02
-3.943013797586713554e-01,3.694915254237288171e-01,2.136003245935745554e+02
2.479786021138518926e-01,5.830508474576271416e-01,1.635812012071644688e+02
-1.455526577624782769e-01,4.508474576271186418e-01,1.976366088085493971e+02
-2.010012892910414406e-01,4.508474576271186418e-01,1.793744872367779237e+02
1.108972630571263274e-01,5.423728813559322015e-01,1.841888075568444663e+02
1.848287717618772030e-01,5.694915254237288282e-01,1.436312894294603666e+02
