size,frac,alpha,calib,n_feats,mae,rho_raw,rho_genre,rho_proph,pair,JE_source_pred,JE_source_lo,JE_source_hi,JE_source_ppost,D_source_pred,D_source_lo,D_source_hi,D_source_ppost,P_source_pred,P_source_lo,P_source_hi,P_source_ppost,Song_Sea_pred,Song_Sea_lo,Song_Sea_hi,Song_Sea_ppost,Song_Deborah_pred,Song_Deborah_lo,Song_Deborah_hi,Song_Deborah_ppost,D_Code_pred,D_Code_lo,D_Code_hi,D_Code_ppost,D_Frame_pred,D_Frame_lo,D_Frame_hi,D_Frame_ppost
700,0.5,1.0,var,290,88.97497050168829,0.8013097375759718,0.65668291466585,0.6773011233402674,0.8101694915254237,560.8658272371615,358.39109895770724,745.6267270500309,0.52,467.46540958728997,323.80716828570445,690.4411701553917,0.86,450.1437369964258,250.96086123468717,611.4581701563154,0.9,739.0324786958956,517.1623913068538,925.2359134199269,0.12,929.1666557026547,763.8017301932457,1164.0874192880383,0.0,351.96019826201666,153.42198880134669,490.23046063375,0.96,507.45074909767646,341.74573144088964,740.9029369821515,0.78
700,0.5,1.0,none,290,93.68588684692843,0.8013097375759718,0.65668291466585,0.6773011233402674,0.8101694915254237,536.7814569246704,362.8498696549614,681.1289515165616,0.62,477.2218811172821,321.5809529629968,632.7086286852646,0.8,463.9077692559902,287.0610605261255,624.8271950253671,0.86,650.2339855955909,458.677953631343,852.7614515346346,0.3,777.132219023287,593.7034834967731,989.0294972632255,0.06,401.47636989238595,224.6324920518599,539.6722924108236,0.98,499.73708470012286,333.31552659041466,695.1443366099672,0.72
700,0.5,0.0,var,290,100.10452074457454,0.772815301929349,0.5911276495184847,0.6233133526392316,0.8,570.457412814471,392.9349914478439,771.7196555206568,0.48,480.2789616119813,277.04570184150015,691.3543360442928,0.82,475.9860360121849,259.05604555601474,634.2455189858816,0.82,735.2063876036702,448.8443604766758,940.4211185785897,0.2,926.9184886168549,744.3265557115374,1200.6888478247245,0.0,353.12559660701527,128.74718164250476,518.5335859288436,0.96,507.44421178271944,317.15833130924665,731.354110420074,0.66
700,0.5,0.0,none,290,99.33693457751076,0.772815301929349,0.5911276495184847,0.6233133526392316,0.8,557.6550347181576,377.9607087742628,726.73309985556,0.52,497.71379456768165,335.6976461908204,691.215858654208,0.74,496.21968247077234,299.6878142909878,657.7721486136925,0.74,660.3165639398652,452.907332118805,864.9597647344178,0.32,791.2247433911357,601.3870858682352,1033.08425196604,0.04,417.7929913871455,231.10682615937083,581.0499598602426,0.94,517.5145967870556,346.38268095008834,717.2650554664644,0.64
1000,1.0,1.0,var,578,114.80922243528943,0.6103200067553652,0.1599322416957277,0.11656450492269095,0.7186440677966102,436.48098580211274,193.24044834154466,669.4764027559288,0.8,411.4426084148319,182.00174705266704,666.3273380105978,0.86,333.5486914554564,105.49412562629266,583.5326938301253,0.94,487.0899885053177,216.7043321718329,725.722359398231,0.76,770.9475469109614,497.8305483960267,974.2315125914473,0.14,432.9071184687977,191.79567167295238,680.1971169155593,0.82,403.50815419272817,164.339825058494,641.6045668443205,0.88
1000,1.0,1.0,none,578,98.9079773647647,0.6103200067553652,0.1599322416957277,0.11656450492269095,0.7186440677966102,462.8988268578557,244.30826333456997,668.1949065669671,0.82,444.07319822515666,225.04122037444802,642.6249525318458,0.84,385.6351292846435,172.38782941026545,603.1976902946722,0.92,495.528180650929,267.2579789914844,719.8982705521556,0.82,717.4022271202077,491.8624930987637,910.6172268428169,0.16,462.3587666035187,250.8180620285649,672.9773157825292,0.82,437.92503618539024,210.8743903908204,643.5485353055568,0.86
1000,1.0,0.0,var,578,123.84615016939468,0.6137855462259005,0.20005658501868412,0.16441730168042723,0.711864406779661,392.0603262191972,152.82425151627234,609.7508465587355,0.88,368.68744177538684,121.45212034390448,584.3028893542798,0.94,287.2879161104989,53.35119385775346,536.9261484299673,1.0,482.06412620487254,241.2514347521934,721.0249400248156,0.68,806.3280627079041,500.61554842470355,1000.7381684979655,0.14,403.78665676545205,151.22154348284937,617.3650152985468,0.88,358.67367283950716,109.17775494562102,577.8035599642899,0.94
1000,1.0,0.0,none,578,107.34931476909432,0.6137855462259005,0.20005658501868412,0.16441730168042723,0.711864406779661,473.3716619341376,267.757199966233,669.3118524357546,0.76,458.43980124267745,247.9897461568524,656.2768480963639,0.76,410.19395640556786,229.3453071527971,615.5213435258461,0.86,530.6394546728123,322.8680720742385,771.8437599253093,0.74,727.8689375405415,471.8574245076478,897.0530360168015,0.2,479.8949043199351,282.124355142976,670.1777690308156,0.76,451.56086021777764,235.2005510852511,642.2261848401404,0.8
1000,0.75,1.0,var,434,85.44691264323373,0.7088953516950331,0.37920330098174304,0.3460125304020931,0.7796610169491526,471.32040444404026,281.6023872576705,683.277265681194,0.82,408.23503854353015,232.39014774135148,619.5467282230669,0.88,358.39846131357933,170.34428601438924,564.4954091703414,0.94,471.58590156112297,257.5861614155032,699.9138479503965,0.8,787.381484974755,547.6847262395921,990.0124127744854,0.08,428.4379113454535,229.11693142861225,631.6868643156553,0.88,444.10575347731356,256.32132177779704,653.7675127464644,0.88
1000,0.75,1.0,none,434,77.78518686054466,0.7088953516950331,0.37920330098174304,0.3460125304020931,0.7796610169491526,492.6052236490606,281.9386712000979,691.0285194456973,0.82,444.0963641153678,250.10297756254158,638.7261961694991,0.86,408.0148835569977,209.37081606396225,619.0163260177267,0.92,489.0187568085163,306.0774445462834,698.1505936154842,0.78,739.6234263420331,540.7877076562689,903.6694574596054,0.08,456.78775367878484,253.2962809736424,647.7673659086927,0.84,468.1073427162049,276.3489575636878,669.7182586469036,0.84
1000,0.75,0.0,var,434,87.35725910252405,0.7088953516950331,0.3650750110792935,0.3460125304020931,0.7796610169491526,472.0851584734703,276.8970827552292,685.6842116550513,0.78,409.8961055910383,224.15441873598888,632.941547635811,0.9,349.73892840076417,158.56223830247012,558.1222290830478,0.94,460.5969775013301,275.7135313381079,708.4354859383632,0.78,798.362455269196,570.9138628826622,1003.0582192204683,0.08,422.1721782996382,218.00333559111175,626.7904644909339,0.9,441.14540637333585,243.5200938835443,652.3072227833665,0.88
1000,0.75,0.0,none,434,82.79587178549671,0.7088953516950331,0.3650750110792935,0.3460125304020931,0.7796610169491526,511.8740791525943,309.50438282726265,702.7455609642393,0.74,463.611445246442,279.95455005081016,664.7547412129798,0.82,422.3167079036509,208.98061263559669,631.0608791658113,0.92,503.2209517724984,306.01415404596503,710.9671478923568,0.76,757.9960160865069,585.3052829517283,933.5875877937541,0.08,472.17377581265487,290.3740180913197,672.7958085243497,0.82,486.6233843193807,286.11364105623386,697.6635175844881,0.78
1000,0.5,1.0,var,289,90.42532694222278,0.7647290431647669,0.4328908026110509,0.528834753912419,0.7898305084745763,582.6762904101676,385.13174017659685,755.565832072575,0.54,450.50800205465,253.1789581249575,613.9627051382056,0.86,498.4050515961541,307.8319899657147,676.6413289648332,0.78,528.2802280316608,297.63815649136643,904.3718190446269,0.64,750.0829957968893,533.5190020503975,970.9041972487538,0.14,402.76619021920584,190.6974200020071,600.1508896009547,0.9,470.74578855854963,262.80310291679615,634.3030650318946,0.78
1000,0.5,1.0,none,289,89.69672491152201,0.7647290431647669,0.4328908026110509,0.528834753912419,0.7898305084745763,585.3482976507546,417.55299349723657,746.7405063367696,0.42,482.7421064879791,326.93788515731563,651.850238670905,0.8,521.5924553078817,353.7160080868276,681.302653298436,0.7,542.9871239072122,371.23668922360537,827.3779972937052,0.62,697.4318483887591,505.7750144078483,849.262354266747,0.16,445.4891811613951,299.8634128500664,627.1049970006078,0.86,501.61327024487423,321.6343099504829,664.9168865173021,0.76
